new_name,old_name
runner_id,runner_id
x8name,x8name_pp
trainer,trainer_pp
jockey,jockey_pp
owner,runner_owner_pp
race_id,race_id
post_time,post_time_entries
post_position,runner_program_post_position_pp
program_number,betting_interest_entries
x8_track_sym,x8_track_sym_pp
itsp_track_sym,itsp_track_sym_entries
date,date_pp
race_race_type,race_race_type_pp
race_surface,race_surface_pp
race_distance,race_distance_pp
race_claiming_price,race_claiming_price_race_pp
race_age_sex_restriction,race_age_sex_restriction_pp
coupled_race,coupled_race_pp
x8race_class,x8race_class
race_num,race_race_num_pp
bet_amount,bet_amount
bet_type,bet_type
runners,runners
runner_morning_line_odds,runner_morning_line_odds_pp
runner_HDWPSRRating,runner_HDWPSRRating_pp
x8speed_HDW_2of3_mean,x8speed_HDW_2of3_mean
x8_speed_HDW_best_mean_2of3_lag_1,x8_speed_HDW_best_mean_2of3_lag_1
x8_speed_HDW_best_mean_2of3_lag_2,x8_speed_HDW_best_mean_2of3_lag_2
x8speed_DRF_2of3_mean,x8speed_DRF_2of3_mean
num_starters,num_starters_entries
num_starters_live,num_starters_live_entries
scratch,ww_scratched
prob_market,prob_market_odds_win
market_odds_win,market_odds_win
cumsum_prob_market,cumsum_prob_market_odds_win
prob_morning_line,prob_morning_line_pp
cumsum_prob_morning_line,cumsum_prob_morning_line_pp
prob_runner_HDWPSRRating,prob_runner_HDWPSRRating
cumsum_prob_runner_HDWPSRRating,cumsum_prob_runner_HDWPSRRating
x8runner_HDWPSRRating_norm_par,x8runner_HDWPSRRating_norm_par
x8speed_HDW_2of3_rank,x8speed_HDW_2of3_rank
median_speed_HDW,median_speed_HDW
x8count_wins_G1,x8count_wins_G1_pp
ppk_score,ppk_score
is_first_time,is_first_time_pp
isnull_hdw_any,isnull_hdw_any
isnull_hdw_all,isnull_hdw_all